date,site
2012-11-30,1
2012-12-31,0
2013-01-31,0
2013-02-28,1
2013-03-31,0
2013-04-30,1
2013-05-31,0
2013-06-30,0
2013-07-31,0
2013-08-31,1
2013-09-30,0
2013-10-31,0
2013-11-30,10
2013-12-31,11
2014-01-31,1
2014-02-28,18
2014-03-31,60
2014-04-30,137
2014-05-31,38
2014-06-30,30
2014-07-31,77
2014-08-31,169
2014-09-30,68
2014-10-31,174
2014-11-30,637
2014-12-31,102
2015-01-31,143
2015-02-28,148
2015-03-31,193
2015-04-30,300
2015-05-31,264
2015-06-30,161
2015-07-31,163
2015-08-31,185
2015-09-30,183
2015-10-31,182
2015-11-30,315
2015-12-31,733
2016-01-31,429
2016-02-29,783
2016-03-31,617
2016-04-30,648
2016-05-31,1076
2016-06-30,981
2016-07-31,1022
2016-08-31,939
2016-09-30,866
2016-10-31,1048
2016-11-30,1665
2016-12-31,1824
2017-01-31,1763
2017-02-28,1772
2017-03-31,1796
2017-04-30,1047
2017-05-31,937
2017-06-30,951
2017-07-31,1130
2017-08-31,1596
2017-09-30,1485
2017-10-31,2289
2017-11-30,2306
2017-12-31,2335
2018-01-31,7230
2018-02-28,3200
2018-03-31,4526
2018-04-30,4159
2018-05-31,3647
2018-06-30,4057
2018-07-31,4178
2018-08-31,3762
2018-09-30,3603
2018-10-31,4961
2018-11-30,4184
2018-12-31,4016
2019-01-31,5619
2019-02-28,6399
2019-03-31,6961
2019-04-30,6393
2019-05-31,8437
2019-06-30,7095
2019-07-31,4050
2019-08-31,4328
2019-09-30,8030
2019-10-31,9317
2019-11-30,8342
2019-12-31,8736
2020-01-31,9523
2020-02-29,9107
2020-03-31,9599
2020-04-30,11427
2020-05-31,11531
2020-06-30,12015
2020-07-31,10090
2020-08-31,8907
2020-09-30,9722
2020-10-31,11177
2020-11-30,9246
2020-12-31,11029
2021-01-31,8912
2021-02-28,9295
2021-03-31,2424
2021-04-30,10991
2021-05-31,12399
2021-06-30,14608
2021-07-31,15377
2021-08-31,16103
2021-09-30,17744
2021-10-31,15831
2021-11-30,14875
2021-12-31,20662
2022-01-31,19229
2022-02-28,16414
2022-03-31,22987
2022-04-30,20261
2022-05-31,18008
2022-06-30,19286
